id,name,locality,timezone,isMobile,isMonitor,instruments,sensors,licenses,bounds,distance,country.id,country.code,country.name,owner.id,owner.name,provider.id,provider.name,coordinates.latitude,coordinates.longitude,datetimeFirst.utc,datetimeFirst.local,datetimeLast.utc,datetimeLast.local,datetimeFirst,datetimeLast
2905540,Prunedale,,America/Los_Angeles,False,False,"[{'id': 4, 'name': 'Clarity Sensor'}]","[{'id': 10141028, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 38, 'name': 'CC0 1.0', 'attribution': {'name': 'Clarity', 'url': None}, 'dateFrom': '2021-10-20', 'dateTo': None}]","[-121.66755, 36.7753, -121.66755, 36.7753]",,155,US,United States,9,Clarity,166,Clarity,36.7753,-121.66755,2024-07-29T00:00:00Z,2024-07-28T17:00:00-07:00,2025-12-21T10:57:26Z,2025-12-21T02:57:26-08:00,,
2905670,Story Park,,America/Los_Angeles,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 9660620, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 9660618, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9660619, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 9660617, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 9660616, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 9660621, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Unknown Person', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[-118.1255146382581, 34.10001767516243, -118.1255146382581, 34.10001767516243]",,155,US,United States,11509,Unknown Person,66,AirGradient,34.10001767516243,-118.1255146382581,2024-06-20T00:00:00Z,2024-06-19T17:00:00-07:00,2025-12-21T09:00:00Z,2025-12-21T01:00:00-08:00,,
2914024,Jim May Park,,America/Los_Angeles,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 9717340, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 9717319, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9717342, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 9717308, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 9717339, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 9717321, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Unknown Person', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[-120.4374, 34.9754, -120.4374, 34.9754]",,155,US,United States,11509,Unknown Person,66,AirGradient,34.9754,-120.4374,2024-06-24T23:00:00Z,2024-06-24T16:00:00-07:00,2025-12-21T09:00:00Z,2025-12-21T01:00:00-08:00,,
2914454,Sunny Brae,,America/Los_Angeles,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 9720127, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 9720113, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9720124, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 9720115, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 9720090, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 9720080, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Unknown Person', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[-124.06708008112147, 40.86196345660962, -124.06708008112147, 40.86196345660962]",,155,US,United States,11509,Unknown Person,66,AirGradient,40.86196345660962,-124.06708008112147,2024-06-25T04:00:00Z,2024-06-24T21:00:00-07:00,2025-12-21T09:00:00Z,2025-12-21T01:00:00-08:00,,
2917797,Guerneville Veteran's Memorial Building ,,America/Los_Angeles,False,False,"[{'id': 4, 'name': 'Clarity Sensor'}]","[{'id': 10141034, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 38, 'name': 'CC0 1.0', 'attribution': {'name': 'Clarity', 'url': None}, 'dateFrom': '2021-10-20', 'dateTo': None}]","[-122.99817, 38.50113, -122.99817, 38.50113]",,155,US,United States,9,Clarity,166,Clarity,38.50113,-122.99817,2024-07-29T00:00:00Z,2024-07-28T17:00:00-07:00,2025-12-21T10:52:10Z,2025-12-21T02:52:10-08:00,,
2917798,Cloverdale Veterans Center,,America/Los_Angeles,False,False,"[{'id': 4, 'name': 'Clarity Sensor'}]","[{'id': 10141090, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 38, 'name': 'CC0 1.0', 'attribution': {'name': 'Clarity', 'url': None}, 'dateFrom': '2021-10-20', 'dateTo': None}]","[-123.01825, 38.8044, -123.01825, 38.8044]",,155,US,United States,9,Clarity,166,Clarity,38.8044,-123.01825,2024-07-29T00:00:00Z,2024-07-28T17:00:00-07:00,2025-12-21T11:03:17Z,2025-12-21T03:03:17-08:00,,
2919681,Allensworth Ave 32,,America/Los_Angeles,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 9753064, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 9753092, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9753088, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 9753066, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 9753062, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 9753072, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'SEEN', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[-119.38804, 35.848831, -119.38804, 35.848831]",,155,US,United States,10998,SEEN,66,AirGradient,35.848831,-119.38804,2024-06-28T00:00:00Z,2024-06-27T17:00:00-07:00,2025-12-21T09:00:00Z,2025-12-21T01:00:00-08:00,,
2919686,Allensworth Community Center,,America/Los_Angeles,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 9753078, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 9753093, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9753083, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 9753070, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 9753071, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 9753065, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'SEEN', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[-119.390205, 35.854701, -119.390205, 35.854701]",,155,US,United States,10998,SEEN,66,AirGradient,35.854701,-119.390205,2024-06-28T00:00:00Z,2024-06-27T17:00:00-07:00,2025-12-21T09:00:00Z,2025-12-21T01:00:00-08:00,,
2923362,Lake Forest Trees,,America/Los_Angeles,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 9776296, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 9776315, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9776318, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 9776306, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 9776303, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 9776300, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Woodchuck', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[-117.69719, 33.6318, -117.69719, 33.6318]",,155,US,United States,11063,Woodchuck,66,AirGradient,33.6318,-117.69719,2024-06-29T23:00:00Z,2024-06-29T16:00:00-07:00,2025-12-21T09:00:00Z,2025-12-21T01:00:00-08:00,,
2931045,MMCA82022,CA8 - ARB,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 9823530, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-123.319409, 39.347792, -123.319409, 39.347792]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,39.347792,-123.319409,2024-07-03T23:00:00Z,2024-07-03T16:00:00-07:00,2024-07-04T00:00:00Z,2024-07-03T17:00:00-07:00,,
2931148,MMCA82022,CA8 - ARB,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 9824168, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-123.18789, 39.0983, -123.18789, 39.0983]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,39.0983,-123.18789,2024-07-03T23:00:00Z,2024-07-03T16:00:00-07:00,2024-07-21T01:00:00Z,2024-07-20T18:00:00-07:00,,
